S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
ENSG00000004848	20	8	37	18	3	10	78	70	38	18	0	6	16	3	21	7	60	190	92	5
ENSG00000004864	235	167	320	192	293	545	444	620	700	632	122	145	147	94	112	270	276	194	283	216
ENSG00000004897	290	143	336	185	153	464	654	485	418	507	230	122	136	125	96	248	312	193	238	300
ENSG00000004939	1	9	0	0	1	6	6	5	5	5	3	0	0	0	1	10	9	5	3	1
ENSG00000004948	5	0	0	1	0	0	3	2	3	1	1	0	0	3	1	4	0	0	0	3
ENSG00000004961	52	58	97	66	59	201	202	234	252	241	64	57	67	63	52	148	190	189	132	162
ENSG00000004975	346	136	328	198	160	475	1071	1051	1122	987	233	186	180	142	147	1229	932	1195	939	1596
ENSG00000005001	83	61	150	73	23	104	207	233	418	143	60	62	82	98	32	321	1528	272	332	196
ENSG00000005007	1046	526	1345	544	763	1879	3391	4837	3855	3367	643	615	622	360	343	3480	3171	3992	2956	4077
ENSG00000005020	125	186	211	122	117	258	428	284	253	350	116	157	69	90	66	200	236	168	166	161
ENSG00000005022	897	789	1405	816	624	2905	2402	4056	4640	2612	603	843	774	566	384	2831	3756	2688	2621	2854
ENSG00000005059	36	45	26	39	13	68	54	73	82	122	48	54	29	40	13	33	195	13	88	65
ENSG00000005073	62	21	46	36	31	98	110	104	131	225	57	22	29	23	27	136	66	81	114	132
ENSG00000005075	100	43	151	76	84	191	376	458	474	400	46	84	72	40	58	356	477	418	335	563
ENSG00000005100	149	112	213	121	143	408	389	458	676	448	138	86	106	90	71	367	402	329	325	325
ENSG00000005102	29	12	8	26	7	14	13	42	48	52	23	21	19	14	2	60	20	22	71	36
ENSG00000005108	32	204	97	16	133	179	57	61	206	147	22	59	9	13	13	77	58	26	69	57
ENSG00000005156	395	340	575	229	273	860	1642	1341	1524	1121	207	291	175	120	167	819	592	786	715	812
ENSG00000005175	205	113	174	111	107	285	347	222	286	211	124	78	69	69	63	135	134	84	102	105
ENSG00000005187	116	25	1017	111	184	1037	516	801	1210	265	93	49	625	50	63	274	188	323	213	273
ENSG00000005189	75	16	124	62	53	223	260	225	302	203	74	35	54	26	47	180	150	160	170	251
ENSG00000005194	147	103	187	132	125	352	457	553	652	570	110	117	111	85	67	272	480	397	332	342
ENSG00000005206	373	232	714	311	216	750	1445	2160	2031	1501	293	252	278	212	125	2177	2461	2384	2020	2721
ENSG00000005238	209	200	319	108	98	287	484	684	642	840	118	167	156	73	67	495	602	730	444	646
ENSG00000005243	190	57	107	87	55	183	362	262	282	453	116	115	68	84	74	352	263	291	460	585
ENSG00000005249	127	110	124	79	152	182	285	181	127	410	101	129	86	88	93	287	156	143	190	171
ENSG00000005302	238	238	303	282	154	548	625	502	667	613	207	168	183	111	121	342	539	318	464	378
ENSG00000005339	973	507	1018	642	452	1603	3094	2688	2667	2731	737	555	381	411	465	3469	2688	2906	2542	3279
ENSG00000005379	488	296	600	307	321	1001	1985	1491	2148	1807	336	349	316	207	189	2374	1429	1430	1874	2554
ENSG00000005381	4	2	0	4	0	2	2	5	5	1	4	3	3	2	0	7	16	8	9	15
ENSG00000005421	26	1	1	4	1	3	0	72	21	3	2	0	0	0	45	2	1	65	20	11
ENSG00000005436	242	172	250	190	208	491	338	343	420	332	104	95	134	79	97	187	127	170	175	168
ENSG00000005448	108	149	116	93	85	163	321	308	464	363	54	120	56	48	29	323	521	293	315	312
ENSG00000005469	538	259	401	315	298	551	1205	652	595	884	269	316	218	147	269	419	577	537	411	550
ENSG00000005471	5	7	13	13	2	16	17	26	27	48	11	10	11	7	2	17	25	19	16	7
ENSG00000005483	995	557	858	692	728	1298	2599	1759	1644	1913	710	560	423	374	491	1542	1355	1215	1254	1466
ENSG00000005486	677	405	863	501	333	811	1943	2913	1918	1802	419	394	395	287	244	1755	2540	3638	1891	2409
ENSG00000005513	2	2	21	5	10	32	12	47	27	67	4	3	13	0	5	75	54	51	32	64
ENSG00000005700	584	467	853	419	265	1025	1436	935	828	799	298	335	329	114	257	460	453	423	310	433
ENSG00000005801	95	95	244	114	148	461	412	292	395	424	75	108	141	73	65	173	253	104	163	167
ENSG00000005810	1121	468	641	562	414	896	3139	1108	1454	1337	427	359	286	292	430	1058	938	1017	929	1119
ENSG00000005812	407	319	449	324	246	649	972	423	594	573	272	260	193	174	249	496	398	415	377	389
ENSG00000005844	77	137	151	87	25	171	148	307	512	587	119	122	150	120	35	167	748	102	646	133
ENSG00000005882	371	177	248	267	116	454	984	867	783	1149	243	178	176	166	121	1395	936	1091	1082	1850
ENSG00000005884	772	281	678	501	143	1004	2872	1755	1797	1803	752	473	333	557	211	2954	6322	2620	2524	3583
ENSG00000005889	476	227	380	338	280	749	2154	761	840	731	199	189	144	124	246	468	367	653	401	479
ENSG00000005893	1865	1069	1902	1762	650	2324	5542	4943	2616	2887	760	1056	916	532	1106	1428	2014	3142	1847	1514
ENSG00000005955	459	319	589	333	349	910	1292	1138	1058	1056	369	386	314	245	250	782	814	745	786	803
ENSG00000005961	11	4	8	1	5	23	44	32	21	23	10	7	16	5	2	50	29	28	41	66
ENSG00000005981	0	0	1	3	0	1	2	1	5	3	2	1	0	3	2	1	1	0	5	2
ENSG00000006007	511	483	627	437	311	957	1250	1556	1326	1255	353	432	359	275	302	936	801	1018	917	908
ENSG00000006015	151	98	237	82	81	233	491	806	828	600	99	115	86	71	58	1051	1038	1288	843	1066
ENSG00000006016	11	12	9	13	0	8	5	73	33	58	19	8	15	2	1	36	24	27	35	13
ENSG00000006025	206	108	299	122	118	389	816	1066	1058	792	183	157	185	80	73	910	742	889	728	1401
ENSG00000006042	712	591	608	429	331	1149	2619	1951	2176	2337	364	585	253	286	332	1811	1580	2709	1670	1971
ENSG00000006047	9	1	2	2	5	36	26	21	28	9	6	6	6	4	6	45	10	43	37	74
ENSG00000006062	91	34	78	111	29	153	298	315	472	368	113	85	45	78	58	488	641	343	429	495
ENSG00000006071	46	97	80	15	78	299	65	240	213	334	15	81	24	14	23	162	42	347	183	140
ENSG00000006074	2	10	7	4	0	31	4	32	34	19	8	22	14	26	0	20	39	1	11	9
ENSG00000006075	8	49	24	28	12	21	13	58	77	79	8	27	6	16	5	42	58	7	47	30
ENSG00000006114	479	331	710	280	305	931	1614	1335	1129	1239	276	296	312	171	242	725	822	732	673	630
ENSG00000006116	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	1	0	1	1	0
ENSG00000006118	72	141	327	59	69	457	96	839	779	1200	53	103	236	84	9	454	939	155	345	89
ENSG00000006125	1292	872	1385	796	714	2550	4098	3638	3376	3385	975	901	609	554	700	2558	2308	2185	2246	2315
ENSG00000006128	0	61	22	7	10	29	32	25	20	45	3	40	7	0	0	27	27	12	15	3
ENSG00000006194	154	94	169	102	100	309	525	381	515	430	128	103	109	66	74	406	426	349	352	423
ENSG00000006210	312	202	216	331	72	457	645	600	1446	1048	439	321	113	554	151	1243	4418	674	1282	2278
ENSG00000006283	68	32	34	25	11	37	227	129	146	211	17	27	35	4	47	161	61	541	203	204
ENSG00000006327	65	55	60	76	8	76	57	276	334	98	127	79	26	64	19	304	998	217	286	225
ENSG00000006377	4	4	10	4	17	17	5	10	24	20	0	0	4	1	0	8	6	3	8	5
ENSG00000006432	47	49	42	21	14	65	146	135	126	112	19	29	11	16	9	87	118	102	89	45
ENSG00000006451	177	122	182	146	166	345	357	260	326	365	124	111	98	57	83	242	287	204	251	256
ENSG00000006453	567	368	664	341	396	1127	2075	2133	1794	1550	304	399	375	218	405	1251	2364	2775	1311	1215
ENSG00000006459	154	196	212	137	161	428	311	390	517	360	127	113	116	91	61	182	351	127	197	135
ENSG00000006468	148	73	69	103	53	114	223	175	176	266	207	77	30	50	54	165	73	68	122	345
ENSG00000006530	190	166	247	183	229	565	632	638	862	661	142	156	142	103	105	538	339	363	362	485
ENSG00000006534	35	16	80	34	18	51	141	108	175	175	33	38	38	53	13	212	266	107	211	233
ENSG00000006555	107	30	137	74	8	142	366	332	342	132	70	61	80	37	48	358	492	578	327	366
ENSG00000006576	109	83	99	116	68	128	204	89	142	145	104	54	52	57	53	112	110	45	107	97
ENSG00000006607	221	202	260	152	169	397	820	683	594	603	162	157	109	43	87	636	403	444	349	610
ENSG00000006611	0	4	0	2	2	2	5	0	1	8	0	0	6	0	0	6	3	1	11	0
ENSG00000006625	186	174	385	170	269	555	393	597	815	460	141	192	252	93	123	255	314	179	247	202
ENSG00000006634	39	17	60	25	49	121	56	60	97	64	22	28	35	4	23	48	49	28	41	33
ENSG00000006638	10	2	4	11	6	5	21	42	26	55	19	3	4	11	5	61	39	52	58	125
ENSG00000006652+ENSG00000181016	559	573	535	616	512	884	1329	653	1034	897	319	456	321	259	247	491	694	432	551	628
ENSG00000006695	69	36	62	37	27	116	150	177	169	184	69	42	21	21	57	156	136	108	135	148
ENSG00000006704	360	133	275	194	147	434	1098	777	804	793	209	172	145	77	110	882	715	828	705	1078
ENSG00000006712	577	486	858	510	300	999	2070	1949	1949	1821	397	465	487	292	242	1590	2226	1908	1463	2053
ENSG00000006715	669	398	671	519	458	1099	1767	1305	1416	1512	411	426	307	292	408	913	955	1031	1022	1006
ENSG00000006740	132	82	117	80	36	187	481	344	298	255	128	91	80	73	43	287	299	303	279	318
ENSG00000006744	590	270	849	371	329	1214	2191	2060	2595	1744	474	309	456	263	248	1989	1850	2068	1816	1992
ENSG00000006747	99	41	98	32	10	85	95	300	227	405	29	68	53	24	7	90	57	78	220	125
ENSG00000006756	652	722	1074	454	607	1857	1921	3631	3091	2397	233	547	458	197	305	2050	1676	3010	1635	1185
ENSG00000006757	125	80	236	84	89	245	367	369	424	407	69	106	123	54	74	325	266	356	265	319
ENSG00000006788	0	4	2	0	0	4	2	0	5	5	1	2	0	2	1	13	2	0	2	5
ENSG00000006831	362	287	477	231	204	661	1119	982	906	683	230	282	287	134	257	716	725	823	611	686
ENSG00000007001	1	1	1	2	1	1	3	3	6	6	0	1	0	0	1	2	2	1	3	11
